region,week_end,SUBSCRIBERS,Total_Calls_Offered,DEV_CNT_ARRIS,DEV_CNT_CSICO,DEV_CNT_MOTOROLA,DEV_CNT_NETGEAR,DEV_CNT_UBEE,DEV_CNT_OTHER,STARTER,SEASONAL,ULTIMATE,ESSENTIAL,C2C,PREMIER,PREFERRED,NO_TIER,GIGABIT
Southeast,5/10/15,60873,1492,10194,38262,42781,7525,6506,10101,0.067119823,0.002624091,0.013673727,0.222684161,0.015033196,0.115886816,0.562851723,0.000126462,0
Southeast,5/17/15,60809,1366,10165,38260,42786,7580,6624,10101,0.067789037,0.002617091,0.013835474,0.223027208,0.015048273,0.116699912,0.560855342,0.000127663,0
Southeast,5/24/15,60793,1454,10136,38289,42786,7629,6760,10104,0.067578555,0.002726099,0.013821799,0.222950245,0.015001514,0.116983117,0.560811134,0.000127537,0
Southeast,5/31/15,60620,1394,10104,38249,42795,7669,6937,10103,0.067785617,0.002926567,0.013731136,0.222245072,0.01494922,0.117537254,0.56068276,0.000142374,0
Southeast,6/7/15,60948,2152,10067,38260,42783,7760,7135,10107,0.067088207,0.003066709,0.013673727,0.222178312,0.015017389,0.118194752,0.560654442,0.000126462,0
Southeast,6/14/15,60853,2054,10014,38099,42765,7815,7394,10110,0.067471953,0.003234957,0.014007522,0.222781744,0.014963666,0.118530087,0.558882585,0.000127486,0
Southeast,6/21/15,60729,1736,9968,38010,42764,7860,7591,10120,0.067705603,0.003208947,0.014011343,0.223561931,0.014853294,0.118953438,0.557578357,0.000127087,0
Southeast,6/28/15,60649,1800,9909,37989,42769,7965,7747,10127,0.067577683,0.003296861,0.014047494,0.223071655,0.014955325,0.119451479,0.557472088,0.000127415,0
Southeast,7/5/15,60458,1657,9840,37970,42808,8035,7870,10127,0.067712934,0.003359621,0.014100946,0.223044164,0.014842271,0.120252366,0.556561514,0.000126183,0
Southeast,7/12/15,60723,1624,9801,38029,42787,8094,8048,10114,0.067198789,0.003423037,0.01424425,0.222260782,0.015048743,0.120910496,0.556771934,0.000141969,0
Southeast,7/19/15,60640,1767,9745,38039,42771,8137,8244,10123,0.067031011,0.003181453,0.014426787,0.222544217,0.014978029,0.121572457,0.556124297,0.000141748,0
Southeast,7/26/15,60800,1836,9691,37985,42789,8267,8479,10115,0.06634443,0.003134014,0.014640992,0.221563889,0.014828097,0.123208856,0.556154986,0.000124737,0
Southeast,8/2/15,60408,1947,9626,38006,42779,8364,8652,10129,0.066780527,0.002945739,0.014525,0.222889018,0.014775701,0.123438993,0.554519672,0.000125351,0
Southeast,8/9/15,60934,2204,9581,38008,42781,8455,8880,10129,0.066547925,0.002774144,0.014564255,0.222735369,0.014879498,0.123260249,0.555128225,0.000110335,0
Southeast,8/16/15,61132,1682,9538,37965,42777,8610,9097,10133,0.066308607,0.002576153,0.014816781,0.221611579,0.014816781,0.126075349,0.55368546,0.000109291,0
Southeast,8/23/15,61366,2013,9483,37972,42761,8762,9286,10136,0.066133267,0.002515939,0.015048756,0.222840355,0.014861233,0.124828104,0.553662958,0.000109389,0
Southeast,8/30/15,61360,1964,9431,37971,42796,8917,9415,10131,0.066350489,0.002620946,0.015257648,0.223357619,0.015008034,0.124853742,0.552426715,0.000124807,0
Southeast,9/6/15,61124,1565,9397,37897,42784,9059,9527,10128,0.066728596,0.002539093,0.015699025,0.222898281,0.015234556,0.125607679,0.551184394,0.000108376,0
Southeast,9/13/15,61461,1655,9361,37892,42749,9220,9581,10123,0.066979268,0.002305304,0.015258915,0.223536054,0.015227551,0.127073989,0.54949346,0.000125459,0
Southeast,9/20/15,61508,1555,9318,37928,42760,9376,9634,10126,0.066575938,0.002393355,0.0155177,0.223833435,0.0151892,0.126988596,0.549392276,0.0001095,0
Southeast,9/27/15,61499,1470,9284,37904,42749,9463,9757,10117,0.06658537,0.00243891,0.015430796,0.222816316,0.015321358,0.127605022,0.549677157,0.000125072,0
Southeast,10/4/15,61326,1523,9257,37898,42749,9641,9886,10113,0.06652994,0.002501476,0.015692489,0.223454834,0.015288524,0.128352133,0.548071844,0.00010876,0
Southeast,10/11/15,61694,1358,9227,37855,42745,9762,10032,10114,0.066565998,0.002537478,0.016034373,0.224247708,0.015349409,0.128555194,0.546600869,0.000108971,0
Southeast,10/18/15,61738,1297,9198,37853,42719,9836,10133,10111,0.068867156,0.002287247,0.015616374,0.226437416,0.01444646,0.128729921,0.543510266,0.000105161,0
Southeast,10/25/15,61675,1317,9165,37831,42719,9913,10249,10110,0.065257819,0.002489818,0.016199185,0.22200876,0.015430723,0.131652962,0.546853147,0.000107585,0
Southeast,11/1/15,61220,1377,9156,37852,42700,10012,10371,10099,0.066539089,0.002368553,0.016124984,0.22444786,0.015779897,0.129454762,0.545190739,9.41E-05,0
Southeast,11/8/15,61757,2196,9136,37879,42721,10201,10506,10097,0.043570969,0.00150869,0.015107016,0.226715883,0.012672996,0.128369408,0.571994689,6.03E-05,0
Southeast,11/15/15,61707,1446,9103,37777,42693,10278,10609,10096,0.067379574,0.002070048,0.014814088,0.223888943,0.012685176,0.126047287,0.553006966,0.000107917,0
Southeast,11/22/15,61847,1405,9084,37743,42699,10390,10657,10098,0.065909793,0.00231696,0.016882916,0.22574915,0.015770775,0.131464319,0.541797961,0.000108125,0
Southeast,11/29/15,61768,1702,9070,37692,42706,10487,10734,10085,0.066058406,0.002441391,0.016401139,0.22693981,0.015962941,0.131193465,0.540893299,0.00010955,0
Southeast,12/6/15,61643,1820,9060,37756,42734,10621,10882,10081,0.065292199,0.002487747,0.01598415,0.22233312,0.021823653,0.131582476,0.540392379,0.000104277,0
Southeast,12/13/15,62089,1560,9033,37708,42717,10741,10984,10078,0.066200006,0.002423046,0.016333124,0.226629573,0.018262586,0.131487631,0.538439678,0.000224356,0
Southeast,12/20/15,62055,1756,9012,37703,42723,10882,11114,10071,0.066139087,0.002390752,0.016462898,0.227772061,0.01637211,0.131975548,0.53873623,0.000151313,0
Southeast,12/27/15,61899,1706,8981,37550,42719,10990,11153,10058,0.066231343,0.002492421,0.016310051,0.232232393,0.015916511,0.132506413,0.534165112,0.000145756,0
Southeast,1/3/16,62037,1962,8974,37551,42730,11173,11237,10057,0.065580959,0.002570616,0.016572915,0.228285853,0.016482187,0.133021835,0.537334422,0.000151213,0
Southeast,1/10/16,62373,1808,8963,37471,42753,11369,11347,10053,0.066126005,0.002551769,0.016410512,0.230465771,0.016527835,0.133043937,0.534712853,0.000161319,0
Southeast,1/17/16,62148,1774,8934,37321,42749,11606,11443,10048,0.063370466,0.00277657,0.017473433,0.229418258,0.017283868,0.135237904,0.534272238,0.000167263,0
Southeast,1/24/16,62469,1743,8919,37163,42733,11791,11596,10044,0.063909049,0.002775428,0.016934562,0.228816955,0.017305609,0.136960684,0.533164136,0.000133577,0
Southeast,1/31/16,62420,1669,8893,36995,42714,11971,11662,10038,0.063686585,0.002695177,0.017630329,0.228509314,0.017823905,0.138079426,0.53145614,0.000119124,0
Southeast,2/7/16,62541,1854,8874,36884,42721,12178,11838,10034,0.066124192,0.002195412,0.013937844,0.235775141,0.013696147,0.138965538,0.529174807,0.000130919,0
Southeast,2/14/16,63327,1685,8863,36704,42710,12365,12185,10037,0.066882335,0.002214006,0.014229827,0.237511285,0.014423284,0.135817463,0.528749839,0.000128971,4.30E-05
Southeast,2/21/16,63569,1717,8850,36561,42731,12473,12487,10038,0.062083647,0.002664659,0.017450617,0.231231536,0.017523026,0.139894572,0.52896368,0.000101373,8.69E-05
Southeast,2/28/16,63627,1803,8834,36470,42731,12607,12699,10041,0.058251001,0.00244855,0.017299005,0.220136874,0.015633991,0.142089348,0.543920863,0.000122427,9.79E-05
Southeast,3/6/16,65923,1980,8816,36359,42750,12768,13025,10041,0.062187492,0.002536293,0.017101862,0.220790357,0.015652552,0.142249813,0.539155535,0.000157009,0.000169086
Southeast,3/13/16,65650,2139,8790,36130,42748,12840,13235,10038,0.063036664,0.002769881,0.01781471,0.231926525,0.018179168,0.142255266,0.523624171,0.000145783,0.000247831
Southeast,3/20/16,65353,1810,8764,35895,42746,12910,13451,10038,0.06307092,0.002793626,0.01826943,0.231974458,0.018298992,0.142681881,0.522482041,0.000147811,0.000280841
Southeast,3/27/16,64303,1733,8761,35767,42722,12970,13631,10033,0.055790018,0.002308552,0.02112566,0.215621205,0.016063678,0.152785293,0.53583667,0.000180356,0.000288569
Southeast,4/3/16,63379,2451,8758,35736,42764,13070,13854,10039,0.062310713,0.002666319,0.018983031,0.228086192,0.018215015,0.145894014,0.523366517,0.000144909,0.00033329
Southeast,4/10/16,63709,2244,8754,35622,42750,13170,14058,10039,0.062749782,0.002772493,0.019068265,0.23075108,0.018507868,0.145319943,0.520314413,0.000147473,0.000368683
Southeast,4/17/16,63962,1932,8756,35560,42755,13245,14137,10049,0.062570586,0.002860118,0.01903812,0.230026841,0.018818111,0.146526056,0.519573476,0.000146673,0.000440018
Southeast,4/24/16,64757,1641,8742,35489,42796,13314,14231,10046,0.060906617,0.002650592,0.021218987,0.225271828,0.018354638,0.151525516,0.519288045,0.000171006,0.000612771
Southeast,5/1/16,64280,1821,8751,35461,42857,13367,14464,10052,0.063261171,0.002701329,0.018825833,0.229969572,0.019129353,0.147161708,0.51824535,0.00015176,0.000553924
Southeast,5/8/16,64522,1861,8747,35385,42865,13399,14677,10050,0.062866845,0.002722522,0.019057656,0.228852881,0.019013744,0.148070083,0.518625858,0.000175647,0.000614763
Southeast,5/15/16,64641,1885,8744,35281,42897,13463,14847,10054,0.041292639,0.001766219,0.017817458,0.22929788,0.015963899,0.147683051,0.545441312,0.000155272,0.00058227
Southeast,5/22/16,64678,1755,8752,35201,42882,13545,15053,10060,0.062200257,0.00274886,0.019417476,0.227380395,0.019008071,0.149666628,0.51862791,0.000248567,0.000701836
Southeast,5/29/16,64760,1761,8757,35123,42865,13580,15235,10064,0.062170922,0.003035947,0.019286332,0.227476057,0.019198334,0.150330728,0.517577695,0.000263995,0.000659989
Southeast,6/5/16,64528,2320,8777,35139,42889,13656,15425,10073,0.062283124,0.003248527,0.019505929,0.22745596,0.019210608,0.151588087,0.515718441,0.000280555,0.00070877
Southeast,6/12/16,64548,1852,8761,35046,42874,13678,15573,10089,0.062003647,0.003132537,0.019824696,0.226586858,0.0193982,0.151508912,0.516515677,0.000323548,0.000705924
Southeast,6/19/16,64535,1857,8788,34977,42890,13778,15721,10096,0.090959433,0.003052806,0.019580559,0.21829696,0.024124271,0.14700328,0.495931958,0.000326579,0.000724154
Southeast,10/5/14,160021,5083,19310,112089,171115,8499,3436,25896,0.109191174,0.005170331,0.011515123,0.220947264,0.000728976,0.101482926,0.550930457,3.37E-05,0
Southeast,10/12/14,160211,4923,19139,112214,171114,8836,3752,25899,0.108601344,0.005154915,0.011581823,0.220958413,0.000756501,0.10145141,0.551462121,3.35E-05,0
Southeast,10/19/14,160178,5009,19007,112299,171139,9003,4092,25903,0.108075228,0.00514549,0.011653803,0.220890422,0.000771159,0.101480492,0.551950167,3.32E-05,0
Southeast,10/26/14,160095,4763,18857,112544,171093,9151,4402,25900,0.10755188,0.005158316,0.011716841,0.22100181,0.000799176,0.101534946,0.552204008,3.30E-05,0
Southeast,11/2/14,160343,4747,18720,112588,171093,9281,4799,25911,0.107096232,0.005169484,0.011815027,0.220916731,0.000806912,0.10146753,0.552695283,3.28E-05,0
Southeast,11/9/14,160813,4853,18589,112693,171099,9499,5147,25907,0.106615541,0.005175512,0.011906932,0.220860893,0.00087235,0.1015507,0.552985522,3.26E-05,0
Southeast,11/16/14,160719,5622,18457,112981,171101,9712,5378,25936,0.10611804,0.005161975,0.01203167,0.220800559,0.000899141,0.10169349,0.553262782,3.23E-05,0
Southeast,11/23/14,160689,5896,18311,113088,171103,9965,5628,25916,0.105657029,0.005156197,0.012093274,0.22071351,0.000938659,0.101741663,0.553667522,3.21E-05,0
Southeast,11/30/14,160550,4909,18190,113100,171089,10128,5893,25919,0.105260129,0.005173163,0.012149581,0.220815429,0.000939994,0.101717567,0.553912165,3.20E-05,0
Southeast,12/7/14,161166,5339,18083,113346,171090,10332,6292,25943,0.104725739,0.005162626,0.01221758,0.220735595,0.000965214,0.101696745,0.554464751,3.18E-05,0
Southeast,12/14/14,160935,5338,17962,113515,171018,10609,6503,25931,0.104204396,0.005155322,0.012342485,0.220694486,0.00100961,0.101756091,0.55480606,3.16E-05,0
Southeast,12/21/14,161559,5266,17866,113785,170996,10949,6639,25939,0.103280985,0.005132848,0.012382461,0.221000018,0.001027793,0.102302135,0.55484317,3.06E-05,0
Southeast,12/28/14,161310,4784,17769,113796,170927,11196,6747,25939,0.1033018,0.004874903,0.012264168,0.231250259,0.001100403,0.100722361,0.546450609,3.55E-05,0
