"","x"
"265",609806.446276139
"266",606152.074682031
"267",1121833.15856257
"268",1812818.64377513
"269",1903254.1716008
"270",2344156.98202788
"271",2304749.70374504
"272",1326523.5761009
"273",729167.827859306
"274",1118300.98332361
"275",2083609.96309702
"276",2235085.79033576
"277",1288572.04570311
"278",1743047.6419947
"279",2745249.57741461
"280",2435596.02354115
"281",1226804.9217021
"282",1156900.73681585
"283",1921904.60885831
"284",1171154.68506343
"285",782664.830115251
"286",1993737.01883593
"287",2318524.22772556
"288",1564643.92772674
"289",626465.804659575
"290",1956075.81062366
"291",1701912.31573091
"292",166940.712380651
"293",1253947.3093471
"294",559309.047182209
"295",2266776.42136274
"296",2883841.32757121
"297",2149640.81232205
"298",3767853.27581308
"299",4938451.84517094
"300",3536297.93921697
"301",660536.831102692
"302",1668927.26976191
"303",1533947.22344177
"304",1058089.52786403
"305",1809095.26149924
"306",1501927.40284613
"307",1941106.67074728
"308",2421536.12443076
"309",1623324.04110438
"310",355063.861548037
"311",312246.09803468
"312",665841.506836075
"313",1608247.79398562
"314",1944492.63201722
"315",1514529.44953223
"316",1187915.37440988
"317",962104.19672935
"318",483860.289526587
"319",138784.949338111
"320",65640.5382053035
"321",461213.683088743
"322",958510.840070577
"323",1042415.33332957
"324",654465.072856685
"325",450753.144784984
"326",707457.962939339
"327",771766.677047919
"328",594246.489829001
"329",176639.029638973
"330",539956.525411056
"331",679210.21292901
"332",430495.86476004
"333",208325.267962402
"334",176795.096326883
"335",393329.875622796
"336",213296.92541764
"337",154798.705019966
"338",384533.238860385
"339",493384.575313548
"340",398924.051979342
"341",224278.548378965
"342",245885.448228007
"343",220081.129369482
"344",88100.8796327877
"345",151788.333945945
"346",268269.117589148
"347",364569.420509808
"348",247432.417036948
"349",48398.5767360963
"350",216727.811927793
"351",214140.960710574
"352",181436.565340925
"353",261005.604714046
"354",426361.091595191
"355",513643.724495093
"356",344662.80678192
"357",94119.206463591
"358",243024.168098057
"359",544935.285744128
"360",564229.403630577
"361",466725.066604843
"362",436926.911117998
"363",252416.903257145
"364",109663.049735332
"365",68985.949932355
"366",112734.805760057
"367",147378.423727255
"368",238855.547578331
"369",364807.24940315
"370",354442.366801738
"371",263529.145275216
"372",131409.200586324
"373",115366.411661752
"374",303008.876715055
"375",424979.700035069
"376",215594.040938937
"377",46572.6551690094
"378",139355.594107654
"379",440066.980812235
"380",394780.227726183
"381",204708.911837187
"382",188226.158750122
"383",45354.4355768697
"384",99540.5907815943
"385",189131.14406428
"386",266794.225331882
"387",133084.9762011
"388",261045.184803245
"389",228118.312986985
"390",89285.5606352416
"391",80619.8499066141
"392",160856.849849269
"393",192350.737916916
"394",153316.900694949
"395",191164.995597642
"396",167431.53308156
"397",100563.34248322
"398",34956.8388170425
"399",163872.647076371
"400",178755.3547494
"401",130305.010492118
"402",95611.6368242034
"403",52333.3937822981
"404",43663.7472827762
"405",110324.875035845
"406",188206.381747017
"407",90729.8403970753
"408",200941.917496701
"409",183081.942563222
"410",311633.938841585
"411",297424.927728302
"412",144534.655030163
"413",325430.978168124
"414",272896.133881395
"415",172407.96909231
"416",179378.32614774
"417",128623.400300425
"418",219375.810357912
"419",417357.158370184
"420",257777.497784196
"421",54556.437514604
"422",148211.937533316
"423",298841.584939919
"424",284240.14314118
"425",97875.2492432252
"426",89676.4093359956
"427",187694.134820464
"428",266718.355881587
"429",301869.90090118
"430",268285.983409327
"431",208209.383486896
"432",252739.301580168
"433",348128.909813795
"434",148761.106440174
"435",287228.243258562
"436",411051.590487114
"437",404456.969290263
"438",402571.199309886
"439",214636.050703973
"440",159736.803942005
"441",215568.997561649
"442",276695.006091671
"443",278673.09817129
"444",110632.962380809
"445",123652.43767588
"446",197559.708165149
"447",221506.773978083
"448",299160.735092169
"449",331104.935301531
"450",203826.027643666
"451",185010.22912376
"452",285208.440824656
"453",148753.530746416
"454",308048.233170717
"455",315457.796959755
"456",298135.188828013
"457",184743.004766602
"458",196563.66029972
"459",394421.781931459
"460",309083.95992615
"461",216435.484527679
"462",186604.470100444
"463",438868.511762313
"464",519939.203260784
"465",456407.851628255
"466",376401.665148895
"467",223470.392599954
"468",169958.42437904
"469",356150.862857916
"470",299695.855760519
"471",164217.764072725
"472",284715.614935248
"473",315838.423459186
"474",232528.363386353
"475",395924.059897661
"476",570566.104619228
"477",576834.471452046
"478",627588.65666593
"479",684149.182149798
"480",607768.535683866
"481",521132.13532164
"482",667251.69036674
"483",447537.722043124
"484",211741.36910765
"485",293813.414802332
"486",381917.68129851
"487",325264.095142393
"488",496289.281444264
"489",320997.315283947
"490",277620.37598483
"491",370262.907023042
"492",621554.528679209
"493",479781.532222493
"494",369333.039775782
"495",403982.561996093
"496",217410.122363173
"497",242761.316474414
"498",313394.861411171
"499",102945.746493033
"500",418624.448780439
"501",413382.337201769
"502",202103.808950422
"503",114597.764417829
"504",391522.049526544
"505",478184.195336364
"506",637955.511747551
"507",529034.619401841
"508",240500.479940314
"509",403387.904712084
"510",824599.036410044
"511",772170.003000134
"512",518433.933843237
"513",799109.666024995
"514",666196.156380675
"515",342067.181539357
"516",376211.857781659
"517",602708.416505439
"518",790453.451695643
"519",954808.921087149
"520",905089.40930673
"521",617953.770986843
"522",581263.836115928
"523",490554.188141445
"524",210833.903761323
"525",354078.767730549
"526",314369.471915639
"527",49584.4664259514
"528",207623.935052577
"529",716825.717819265
"530",1272335.60850304
"531",1176862.33920844
"532",1185417.9582687
"533",1373154.84932607
"534",1089755.42873065
"535",949698.596801001
"536",1184570.08580166
"537",1716556.9202482
"538",2407998.50814732
"539",2412180.04222277
"540",1774050.5399214
"541",1485672.29913113
"542",1477817.03228952
"543",1380864.80208316
"544",1211060.25744065
"545",1500854.02032779
"546",1645863.76519277
"547",1117548.65316586
"548",521887.165490121
"549",881561.363088265
"550",763672.380980359
"551",153809.952477104
"552",654929.346868705
"553",917291.480573765
"554",852448.996417104
"555",763846.727164617
"556",917191.224920173
"557",1176334.09795541
"558",1105168.43846287
"559",749635.161154408
"560",1013789.30917602
"561",1293713.79282668
"562",1271494.22950705
"563",789834.919318031
"564",472338.411863857
"565",1202383.74026844
"566",1262275.9932709
"567",1090813.77635211
"568",1142884.64817981
"569",1030706.8359396
"570",1172507.24966734
"571",2473534.42191877
"572",2926910.64489947
"573",2133043.42946087
"574",1509672.90914604
"575",1285582.50999247
"576",1055943.1653115
"577",2227928.97286949
"578",2408023.61806379
"579",1141751.39595379
"580",1033128.2489127
"581",1388412.97767121
"582",747250.581412253
"583",350848.54734889
"584",1107506.67431625
"585",1674791.19626436
"586",1266721.57853477
"587",596054.83709724
"588",1816486.81370429
"589",1651743.79226557
"590",608064.043435127
"591",929177.516812008
"592",1130710.60388051
"593",1481984.49917757
"594",1432408.863034
"595",1064536.59713006
"596",2023379.74572151
"597",2833963.0703336
"598",2202190.97175536
"599",562921.851003948
"600",756458.425436166
"601",907732.511010626
"602",1030741.34239217
"603",1254482.3084588
"604",1530369.57169398
"605",2108100.27870023
"606",2008478.98846759
"607",1169943.38457286
"608",341433.356545932
"609",88618.4087156297
"610",839778.792204284
"611",1810826.79876657
"612",2049922.71596687
"613",1250951.00451943
"614",527019.771646585
"615",1084229.91149878
"616",1223379.46175331
"617",1093915.45979979
"618",896739.667819512
"619",954624.612279076
"620",1351088.76348558
"621",1448602.13059993
"622",1302375.16440041
"623",1382306.96818191
"624",1361379.32823069
"625",1099809.64981286
"626",819550.436638089
"627",509733.193894674
"628",595877.500826746
"629",1098043.13016915
"630",1422014.78412931
"631",1177538.57522394
"632",551601.619687813
"633",213271.6507865
"634",413464.70526664
"635",570396.772471965
"636",661767.002819095
"637",1000205.95424483
"638",1150710.48384782
"639",904557.255718183
"640",390056.219293864
"641",81078.2045345239
"642",196287.121727582
"643",438502.493596896
"644",543808.084013084
"645",441449.207253086
"646",322531.765399191
"647",563849.522880773
"648",475382.032262121
"649",143801.388904876
"650",223609.368349707
"651",73144.11178343
"652",43597.4742943386
"653",281805.351795742
"654",400930.706756537
"655",333721.150808852
"656",640033.12866936
"657",804775.519339685
"658",752993.670369786
"659",747880.978220444
"660",661440.540105166
"661",434293.229587818
"662",375350.598098688
"663",190266.822024827
"664",139381.961352167
"665",299775.350427053
"666",289838.359258722
"667",323411.894681878
"668",492865.698263869
"669",655619.522782787
"670",554962.374645281
"671",372686.651325125
"672",522882.277956818
"673",379785.338821819
"674",194089.878659534
"675",200307.809874575
"676",399855.719556568
"677",472409.903485508
"678",344054.893679102
"679",301323.399065381
"680",291019.281061641
"681",491906.619772846
"682",681924.295109257
"683",761978.073636331
"684",562055.326112687
"685",302300.163693939
"686",379549.109353587
"687",613962.432114965
"688",535416.807473227
"689",564163.868134784
"690",544150.727364796
"691",320594.339499433
"692",386611.119528699
"693",518005.381644997
"694",390328.459922228
"695",367016.663176615
"696",484221.408761674
"697",529170.610826758
"698",555010.917124406
"699",481240.197671434
"700",209296.879642299
"701",191226.320343633
"702",375653.723703079
"703",337805.458161964
"704",150827.919967692
"705",614173.485968519
"706",522153.591508806
"707",273318.225482718
"708",418254.796271181
"709",311334.129636909
"710",207274.331660131
"711",249798.543843273
"712",105097.648114936
"713",444111.586779239
"714",751231.818479532
"715",361051.327604047
"716",477711.701637812
"717",493591.187540076
"718",300153.006985846
"719",300895.01709934
"720",543101.045663729
"721",759642.148936113
"722",338198.398267142
"723",110601.783020678
"724",268594.13742523
"725",360410.362009314
"726",596296.568324105
"727",887520.14056956
"728",540149.606021247
"729",122761.066582207
"730",378673.088048458
"731",807753.840256679
"732",985211.337929547
"733",839530.06980859
"734",749212.171677767
"735",1083094.2900243
"736",1131066.27226073
"737",673978.951694438
"738",143533.120453358
"739",713123.852055833
"740",614594.286721994
"741",337767.571022707
"742",1249664.80706819
"743",1399959.38593406
"744",1192839.51240727
"745",981047.781156828
"746",669472.362700104
"747",774810.183356195
"748",1142210.16401589
"749",1216242.39626254
"750",990280.990495217
"751",1011146.10027592
"752",1366413.64418711
"753",1008044.62348497
"754",140009.780194327
"755",825985.339020625
"756",1178084.50016575
"757",1023407.88826043
"758",790028.742654648
"759",742523.092052421
"760",802303.60351366
"761",835316.946480132
"762",446654.595330972
"763",503394.984576034
"764",757862.048197917
"765",360055.465812909
"766",480628.956687178
"767",355029.560590438
"768",373474.251001678
"769",702843.848648804
"770",1395710.07585787
"771",830652.477745477
"772",285600.240931656
"773",393958.327181911
"774",791467.010766059
"775",588282.442790125
"776",399730.553790198
"777",747400.886763877
"778",365237.106341383
"779",515195.412207447
"780",1066837.75713831
"781",912377.182316717
"782",500755.943502745
"783",1642853.25256
"784",1883819.68903487
"785",1588526.06373433
"786",1518621.74984852
"787",1351664.87474638
"788",830382.985673415
"789",1355234.40448733
"790",1753085.06206392
"791",1081484.0035968
"792",773437.851888869
"793",433231.525394984
"794",934463.306637985
"795",595679.252248529
"796",563086.778860432
"797",978016.212566363
"798",646073.394927317
"799",871576.312873946
"800",1809574.32462048
"801",1486716.50784878
"802",1847904.75512375
"803",2649760.12861305
"804",1916128.98531353
"805",1329381.8376168
"806",2289985.87209936
"807",3256673.50103262
"808",2802189.64239753
"809",2706795.93818387
"810",2604163.92000716
"811",1840514.39035855
"812",1750428.31676642
"813",1960660.84279227
"814",1580018.43911251
"815",1675005.70989656
"816",2327829.10323759
"817",1833089.46546203
"818",696459.066011461
"819",466711.624464748
"820",366758.916081859
"821",1603108.44249781
"822",2413461.79036066
"823",1828632.16270168
"824",759716.210362004
"825",1027587.14295381
"826",2235991.59604315
"827",2371635.95957484
"828",1587678.28776316
"829",1991297.72897597
"830",2231713.13239688
"831",2085905.88534172
"832",1991659.37503563
"833",1628855.1640534
"834",1629194.93417462
"835",2634690.48051946
"836",2859623.04772787
"837",2295427.43789162
"838",1796847.67947239
"839",1854585.32573468
"840",2307738.53307676
"841",2537505.45398589
"842",2235916.16136189
"843",2075248.70903462
"844",2114392.59723082
"845",1415910.79201364
"846",824128.966999221
"847",1637033.85456439
"848",1790060.40219062
"849",1458879.27568732
"850",1473608.90441344
"851",1351994.48266486
"852",462565.706060625
"853",546103.862064149
"854",887012.225617869
"855",1207723.94463945
"856",628200.072910808
"857",1412732.32402312
"858",2253729.43304374
"859",2117411.87639443
"860",1430188.46699502
"861",815474.621875549
"862",1758940.28927415
"863",1621834.39116873
"864",1552527.50204086
"865",507950.880546512
"866",1468047.69933012
"867",1660276.60032268
"868",2000548.37625
"869",2398142.73233877
"870",1244967.05153149
"871",800479.384032327
"872",1228873.9621021
"873",501634.269418271
"874",1423688.97176302
"875",2598290.64627014
"876",1582363.92149281
"877",1036072.43328409
"878",2304979.6806433
"879",1914144.47963431
"880",780046.676756978
"881",868909.693084261
"882",1411762.69175539
"883",1080000.83227677
"884",870944.293173758
"885",1898427.85363422
"886",2180640.03398499
"887",1522166.49419828
"888",638680.401144997
"889",452215.920698383
"890",1180116.01208439
"891",1844572.35613434
"892",1621807.50702426
"893",558111.555255119
"894",1302328.49792773
"895",1392639.45065134
"896",601582.92407408
"897",1250679.79076453
"898",1019758.67501065
"899",1907318.50500154
"900",2826447.9136653
"901",2320270.7337903
"902",1642315.10347688
"903",1562883.80979535
"904",1607835.96289757
"905",1806117.29566063
"906",1861034.20741853
"907",1378233.09109548
"908",1024532.82199723
"909",1823436.57060135
"910",1869803.69961375
"911",989011.129788994
"912",768127.064995416
"913",1275843.31814625
"914",1899807.60144103
"915",2051594.13796688
"916",2162160.80772499
"917",2586377.64129596
"918",2551891.4658337
"919",2198892.02977714
"920",1789967.72788438
"921",1503682.78290927
"922",1473779.36909928
"923",1768092.06278318
"924",1911864.11229733
"925",1790116.62666926
"926",2087963.52148696
"927",2449165.61494593
"928",2207941.0691353
"929",1575126.96187531
"930",1156776.56713143
"931",1344934.08419762
"932",1926565.58414991
"933",1941005.12513601
"934",1553818.30652585
"935",1553858.42974458
"936",1282138.71894558
"937",729229.212280677
"938",754515.551721117
"939",1415222.52885751
"940",1448770.75301752
"941",1509073.38116771
"942",2065271.24452707
"943",1692675.48442833
"944",958958.212004842
"945",997443.571544212
"946",1094527.73191552
"947",710743.635711261
"948",320723.521785385
"949",943714.860150402
"950",613551.787420584
"951",843765.499261083
"952",1069621.94425632
"953",663245.466502759
"954",309258.615219748
"955",671982.368813186
"956",874342.055524627
"957",725157.669575199
"958",941954.404831585
"959",943577.574018217
"960",517525.84569177
"961",182415.331782503
"962",161135.523266375
"963",335623.662961394
"964",767110.139193911
"965",1182807.66111622
"966",1332848.57265979
"967",1174566.93591991
"968",859640.792328768
"969",734774.902370861
"970",674245.937653733
"971",484730.035041895
"972",501636.061148139
"973",699909.185738544
"974",518152.906695621
"975",82897.0787060014
"976",395650.762356177
"977",524611.211846479
"978",447751.872592114
"979",641819.828902233
"980",965214.866985003
"981",839103.94207961
"982",217092.276448532
"983",761279.2470803
"984",874523.867049502
"985",197009.899637492
"986",706010.932897493
"987",654157.552406224
"988",266559.911779017
"989",358160.438842892
"990",837419.174033383
"991",652224.459721475
"992",154857.07394752
"993",561223.987669977
"994",1173160.59725938
"995",891034.470510615
"996",767984.664218957
"997",961491.408358696
"998",378279.124708392
"999",399892.439832308
"1000",82863.1579230951
"1001",787008.23098946
"1002",864303.138845278
"1003",818636.967844201
"1004",1079320.81307732
"1005",556699.405841609
"1006",143868.487213632
"1007",426155.84467458
"1008",1122805.35381229
"1009",774659.254245592
"1010",861740.488839552
"1011",777913.558402231
"1012",421246.595573476
"1013",791871.208130613
"1014",877309.981017961
"1015",1442741.07444744
"1016",758874.37674594
"1017",937193.788393222
"1018",487934.726805462
"1019",405158.52152383
"1020",615232.989586825
"1021",1350797.94029917
"1022",1292941.32384387
"1023",718871.465809654
"1024",465816.521899537
"1025",123526.806048738
"1026",933945.381857997
"1027",1661144.07619278
"1028",1882906.26740664
"1029",1797323.71016134
"1030",1021824.42732366
"1031",1186216.52556981
"1032",1201101.94176715
"1033",522640.031473172
"1034",445349.214963132
"1035",478767.203771826
"1036",1169175.01855546
"1037",620211.215122149
"1038",635839.340190123
"1039",1209781.99129335
"1040",615449.249843138
"1041",384970.946328363
"1042",789669.943061067
"1043",904483.859679919
"1044",596028.270316834
"1045",431051.531430555
"1046",963733.571511237
"1047",422599.770339773
"1048",570578.537669963
"1049",1071357.15027775
"1050",1110868.74276408
"1051",492355.247567858
"1052",772178.533900569
"1053",1055311.78686072
"1054",474530.580377056
"1055",502609.156412916
"1056",697459.275316205
"1057",867650.670011191
"1058",496330.062687034
"1059",1811753.47809117
"1060",1277358.66381825
"1061",944316.298413898
"1062",1580470.67121048
"1063",349805.010528012
"1064",1403946.97487947
"1065",937916.185037439
"1066",1528156.8747331
"1067",1690764.94194453
"1068",1810515.99431806
"1069",1137200.48618803
"1070",1339665.80492186
"1071",1876928.90712521
"1072",1089751.13111014
"1073",1118484.18158932
"1074",1581366.66939999
"1075",1379413.68645178
"1076",1341332.09499428
"1077",2630188.28659476
"1078",2018700.3455891
"1079",933243.861336919
"1080",1247376.94953741
"1081",1351696.62167609
"1082",322924.544615142
"1083",2346207.30399614
"1084",2058771.88575366
"1085",1063874.67005452
"1086",1645637.08085448
"1087",859218.934995864
"1088",1128818.19011266
"1089",251399.236315825
"1090",1717447.99906172
"1091",1199819.01123624
"1092",623429.024652186
"1093",649443.591877389
"1094",1545239.64872379
"1095",770370.365858735
"1096",1360686.21001796
"1097",1909696.93425828
"1098",404040.188654116
"1099",584520.786666736
"1100",361740.751934068
"1101",740603.470155122
"1102",411616.139259563
"1103",1506836.61935267
"1104",885367.298595874
"1105",339532.677153477
"1106",470204.920858451
"1107",729259.134582783
"1108",473305.245098551
"1109",715424.392100773
"1110",1323355.90885348
"1111",907659.379763786
"1112",205721.198180234
"1113",229852.494297198
"1114",530038.950326334
"1115",853362.470580615
"1116",1093932.93101034
"1117",1082527.23959202
"1118",125459.692449725
"1119",775370.520797604
"1120",472339.584865851
"1121",1135431.7270929
"1122",924135.983857626
"1123",1249581.69364725
"1124",1698190.92842609
"1125",578446.570013904
"1126",948536.165131595
"1127",951123.276182611
"1128",598307.286986988
"1129",874077.152951689
"1130",2122267.29772444
"1131",1558092.10900016
"1132",686247.168312205
"1133",1710100.62692282
"1134",1219155.72726979
"1135",722561.19303703
"1136",1473841.02669701
"1137",1116205.71169635
"1138",180491.131892434
"1139",878238.743166851
"1140",1521722.52291094
"1141",1150081.87348326
"1142",1774836.43263759
"1143",1903823.00153043
"1144",835157.222820046
"1145",458573.353826427
"1146",1050510.90451922
"1147",1542420.29972567
"1148",1973994.66994246
"1149",2078225.25403033
"1150",1529934.14898811
"1151",1137325.42162971
"1152",721959.155547961
"1153",1154819.57869953
"1154",1869714.64250528
"1155",2172922.92967685
"1156",2751052.75423165
"1157",2672690.97747039
"1158",1583355.46736574
"1159",1500460.48249555
"1160",1434803.3838092
"1161",1500314.56698285
"1162",2007821.32103673
"1163",3079282.64783825
"1164",2822573.37582077
"1165",2928432.78165968
"1166",2514837.05389855
"1167",1319722.75499714
"1168",1590403.24195062
"1169",2068229.47332334
"1170",1776817.53596623
"1171",1900483.59937279
"1172",3274965.86781154
"1173",2746707.56798481
"1174",2186853.7394182
"1175",2807621.40897996
"1176",2316170.03817334
"1177",2096462.14135863
"1178",2494403.66849008
"1179",1745807.65110462
"1180",1523399.2893809
"1181",1782988.86812523
"1182",1242201.98827307
"1183",1119849.46273502
"1184",2119143.93709606
"1185",1749075.18038307
"1186",1034737.69152958
"1187",1609539.4288855
"1188",1126839.7345106
"1189",562928.657711247
"1190",911844.698038417
"1191",1651957.88447376
"1192",1866629.85213365
"1193",2067225.1041535
"1194",2114313.48967538
"1195",1628380.30181122
"1196",1385143.85172221
"1197",832160.303216097
"1198",482355.69724268
"1199",211006.33350073
"1200",633026.048750991
"1201",608723.502260318
"1202",478735.449725931
"1203",971308.365538643
"1204",227500.366123229
"1205",630921.019376652
"1206",851980.804016952
"1207",788509.220791691
"1208",1137684.87227642
"1209",1948462.66217468
"1210",1653932.25125471
"1211",2048595.13261262
"1212",1822766.77643418
"1213",1110542.5179418
"1214",1114886.93228209
"1215",314374.776361655
"1216",833710.528363639
"1217",500148.87549993
"1218",1565560.2360394
"1219",1051495.93961328
"1220",838792.839481235
"1221",1130792.56359254
"1222",511342.078671626
"1223",481106.733148204
"1224",939221.71939752
"1225",383164.39160162
"1226",601570.159785859
"1227",430759.948590238
"1228",752063.361448402
"1229",985572.500155534
"1230",720502.896592812
"1231",765853.717042909
"1232",393001.721965638
"1233",549272.366356356
"1234",802770.029104223
"1235",769088.232666122
"1236",1468519.62463867
"1237",1158447.25933509
"1238",1181990.36905607
"1239",1319145.3093009
"1240",453400.599076822
"1241",457176.354525989
"1242",377682.638691512
"1243",491062.088885992
"1244",479200.816707003
"1245",333036.547420782
"1246",917504.194202805
"1247",384235.807335542
"1248",768465.38913744
"1249",875865.723188816
"1250",653418.834101226
"1251",1335204.10157986
"1252",957132.291583088
"1253",1658765.46535289
"1254",1381130.08799342
"1255",813094.253043947
"1256",971419.247363552
"1257",287307.556214208
"1258",984495.511533899
"1259",350615.562178095
"1260",1126069.55901861
"1261",793527.079215023
"1262",501093.024893764
"1263",851410.450836438
"1264",399608.857786038
"1265",621117.620367025
"1266",748312.14713567
"1267",202939.090528393
"1268",715856.545874969
"1269",371001.416513143
"1270",434782.110251617
"1271",450837.650637572
"1272",650549.460866568
"1273",918862.208203373
"1274",843633.403527468
"1275",1226444.76995989
"1276",935408.64278815
"1277",881604.209403571
"1278",1034621.72133257
"1279",350141.236367136
"1280",611605.093086826
"1281",483831.802843661
"1282",1216736.97828988
"1283",390248.20305579
"1284",1194663.17678623
"1285",561567.864816478
"1286",707721.102332669
"1287",294936.109700809
"1288",1231165.1939574
"1289",1229449.25639783
"1290",1419165.04451566
"1291",1986807.61183985
"1292",1253846.60445065
"1293",1561308.69088795
"1294",1082098.10037165
"1295",1281653.37286051
"1296",1463381.25792435
"1297",1165905.09777645
"1298",1902682.84524503
"1299",1178119.307044
"1300",1618388.01349933
"1301",1260180.53104827
"1302",1074972.82161087
"1303",1368598.34196697
"1304",698161.515978862
